"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-30 9:46,39,54,17,12,0.8199999928474426,False
FRC3,2021-04-30 9:56,41,53,16,12,0.8199999928474426,False
FRC3,2021-04-30 10:06,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 10:16,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 10:26,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 10:36,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 10:46,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 10:56,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 11:06,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 11:16,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 11:26,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 11:36,53,53,12,12,0.6399999856948853,False
FRC3,2021-04-30 11:46,38,54,18,12,0.9300000071525574,False
FRC3,2021-04-30 11:56,40,54,17,12,0.8199999928474426,False
FRC3,2021-04-30 12:06,54,54,12,12,0.8199999928474426,False
FRC3,2021-04-30 12:16,42,54,16,12,0.8899999856948853,False
FRC3,2021-04-30 12:26,43,54,15,12,0.9200000166893005,False
FRC3,2021-04-30 12:36,54,54,12,12,0.9200000166893005,False
FRC3,2021-04-30 12:46,54,54,12,12,0.9200000166893005,False
FRC3,2021-04-30 12:56,54,54,12,12,0.9200000166893005,False
FRC3,2021-04-30 13:06,38,54,18,12,0.9200000166893005,False
FRC3,2021-04-30 13:16,42,53,16,12,0.8899999856948853,False
FRC3,2021-04-30 13:26,40,53,17,12,0.8299999833106995,False
FRC3,2021-04-30 13:36,42,53,16,12,0.6399999856948853,False
FRC3,2021-04-30 13:46,38,54,18,12,0.8199999928474426,False
FRC3,2021-04-30 13:56,33,54,20,12,0.9200000166893005,False
FRC3,2021-04-30 14:06,31,54,22,12,0.949999988079071,False
FRC3,2021-04-30 14:16,42,53,16,12,0.9700000286102295,False
FRC3,2021-04-30 14:26,36,54,19,12,0.9599999785423279,False
FRC3,2021-04-30 14:36,40,53,17,12,0.949999988079071,False
FRC3,2021-04-30 14:46,42,54,16,12,0.6399999856948853,False
FRC3,2021-04-30 14:56,42,54,16,12,0.5099999904632568,False
FRC3,2021-04-30 15:06,38,53,18,12,0.5099999904632568,False
FRC3,2021-04-30 15:16,43,54,15,12,0.8799999952316284,False
FRC3,2021-04-30 15:26,40,54,17,12,0.9100000262260437,False
FRC3,2021-04-30 15:36,40,53,17,12,0.9200000166893005,False
FRC3,2021-04-30 15:46,40,53,17,12,0.8899999856948853,False
FRC3,2021-04-30 15:56,42,53,16,12,0.8199999928474426,False
FRC3,2021-04-30 16:06,34,53,20,12,0.9200000166893005,False
FRC3,2021-04-30 16:16,41,54,16,12,0.9599999785423279,False
FRC3,2021-04-30 16:26,41,53,16,12,0.9200000166893005,False
FRC3,2021-04-30 16:36,43,54,15,12,0.8899999856948853,False
FRC3,2021-04-30 16:46,43,54,15,12,0.6399999856948853,False
FRC3,2021-04-30 16:56,54,54,12,12,0.5099999904632568,False
FRC3,2021-04-30 17:06,41,54,16,12,0.8199999928474426,False
FRC3,2021-04-30 17:16,38,54,18,12,0.6399999856948853,False
FRC3,2021-04-30 17:26,34,53,20,12,0.8899999856948853,False
FRC3,2021-04-30 17:36,28,55,24,12,0.9599999785423279,False
